Gamma,Depth
11.4,5043.36
9.8,5043.41
10.5,5043.46
10.5,5043.51
10.5,5043.56
9.2,5043.61
9.1,5043.66
9.7,5043.71
10.3,5043.76
9.0,5043.81
8.8,5043.86
9.7,5043.91
8.7,5043.96
8.5,5044.01
9.6,5044.06
9.1,5044.11
9.3,5044.16
9.3,5044.21
9.8,5044.26
9.4,5044.31
8.8,5044.36
8.0,5044.41
8.1,5044.46
